序号,医疗机构名称,地址,邮政编码,电话,机构类别
1.0,上海市公惠医院,上海市石门一路315弄6号,200041.0,6.2539995E7,综合医院
2.0,上海市第四康复医院,康定路995号、新闸路1739号、康定路828号,200040.0,6.2710131E7,康复医院
3.0,上海市静安区中心医院,上海市西康路259号/常德路370号/上海市静安区西康路266号,200040.0,6.247453E7,综合医院
4.0,上海市第三康复医院,上海市闸北区交城路100号,200436.0,5.6505528E7,康复医院
5.0,上海邮电医院,上海市长乐路666号/复兴中路1315号,200040.0,5.404706E7,综合医院
6.0,上海市化工职业病防治院,上海市成都北路369号,200041.0,6.26722E7,职业病医院
7.0,上海市静安区北站医院,上海市南星路29号,200070.0,6.3171198E7,综合医院
8.0,上海市静安区老年医院分院,上海市康定路995号,200042.0,6.2710131E7,综合医院
9.0,上海市静安区闸北中心医院,上海市中华新路619号,200070.0,5.6628584E7,综合医院
10.0,上海市静安区精神卫生中心,第一执业地点：“上海市静安区平遥路80、100号”；第二执业地点：“上海市静安区康定路834号”；第三执业地点：“上海市静安区胶州路424弄2号103室,200436.0,6.2533938E7,精神病医院
11.0,上海市静安区中医医院,上海市延长中路288号,200072.0,5.6037285E7,中医（综合）医院
12.0,上海市民政第三精神卫生中心,上海市闻喜路590号,200435.0,5.6911878E7,精神病医院
13.0,上海市静安区市北医院,上海市共和新路4500号、上海市闻喜路1152号,200435.0,5.6482208E7,综合医院
