序号,区县,门诊机构,门诊地址,联系电话,工作时间
1.0,静安区,静安区疾病预防控制中心,永和路195号,6.6315272E7,周一下午13:30-16:00； 周三上午8:30-11:00，下午13:30-16:00
2.0,静安区,静安区妇幼所(仅限在本机构接受婚前检查和孕前检查的服务对象）,康定路1297号,3.2559329E7,周四上午8:30-11:00，下午13:30-16:00
3.0,静安区,临汾路街道社区卫生服务中心,临汾路385号门诊一楼健康咨询室（近阳曲路）,56831110*8006,周二、四下午14:00-16:00
4.0,静安区,彭浦新村街道社区卫生服务中心,平顺路15号 健康管理部（闻喜路平顺路口）,53930765；18917671136,周二、三上午9:00～11:00
5.0,静安区,"彭浦镇社区卫生服务中心  ",平陆路277号三楼健康访谈室,5.677868E7,周一、三下午14:00-16:00
6.0,静安区,大宁街道社区卫生服务中心,广延路101号二楼半健康咨询室（近延长路）,56339696*8034,周三、五下午14:00-16:00（暂时停诊）
7.0,静安区,芷江西街道社区卫生服务中心,"芷江西路335号门诊1楼健康小屋（近大统路） ",63068717；18918851602,周一、三下午14:00-16:00 每个月第四个周六上午8:00～11:00
8.0,静安区,共和新路街道社区卫生服务中心,洛川东路151号一楼健康咨询室（近平型关路）,56382020*8212,周二、四下午14:00-16:00
9.0,静安区,宝山街道社区卫生服务中心,天通庵路51号 门诊1楼健康咨询室（近西藏北路）,1.580095607E10,周一、二下午14:00-16:00
10.0,静安区,北站街道社区卫生服务中心,大统路168号 B1 VCT咨询室,"63246792-8013；13621926964 ",周一、周二：上午8:30-11:00 下午：14:00-16:00
11.0,静安区,天目西街道社区卫生服务中心,梅园路111号二楼健康咨询室（近汉中路）,63540602*8002,周一、三下午14:00-16:00
12.0,静安区,南西社区卫生服务中心,成都北路165号（近威海路）周四二楼体检门诊周六二楼专家门诊,63182117*823（周四）/840（周六）,周四上午8:30-11:00，下午2:00-3:30每月第二个周六上午8:30-11:00
13.0,静安区,石二社区卫生服务中心,山海关路456号一楼咨询室（近石门二路）,62563921*8026,周四上午8:30-11:00，下午2:00-4:00
14.0,静安区,静安寺社区卫生服务中心,新闸路1729号二楼健康咨询室(近胶州路),62176060*8049,周二上午8:30-11:00，下午2:00-4:00  每月第四个周六上午8:30-11:00
15.0,静安区,曹家渡街道社区卫生服务中心,万航渡路858弄5号一楼咨询室（近康定路口）,62268811*8119,周二、四下午2:00-4:00每月第三个周六上午8:30-11:00（暂时停诊）
16.0,静安区,江宁社区卫生服务中心,淮安路736号,62531899*8026；18917670690,周三、周五下午2:00-4:00每月第一个周六上午8:30-11:00
