名称,服务内容,服务地址,联系方式,投诉举报渠道
上海市静安区中心医院,医疗服务,上海市静安区西康路259号,021-61578000,电话：021-61578119
上海市静安区闸北中心医院,医疗与护理，医学教学，医学研究，卫生医疗人员培训，卫生技术人员继续教育，保障与健康教育。,上海市中华新路619号,021-56628584,电话：021-56628584；医纠办现场投诉
上海市静安区市北医院,为人民健康提供医疗与护理保健服务。医疗与护理，医学教学，医学研究、卫生医疗人员培训，卫生技术人员继续教育、保健与健康教育。,上海市共和新路4500号,021-36538899,电话：021-36538899（综合接待办）
上海市静安区北站医院,医疗，护理，医学教学，医学研究，卫生人员继续教育，保健与健康教育,上海市静安区南星路29号,021-63549199,电话：021-63549199；或来信、来访
上海市公惠医院,为广大人民群众提供医疗保健等服务,上海市静安区石门一路315弄6号,021-62538253,电话：021-62538253
上海市第四康复医院,为人民身体健康提供医疗与护理康复服务。内、外、眼、口腔、中医、康复、检验、影像等科的诊疗,上海市康定路995号；上海市新闸路1739号；上海市康定路828号,021-62710131,电话：021-62710131；或信箱
上海市静安区中医医院   ,为人民身体健康提供医疗与护理保健服务。,上海市延长中路288号,021-66526735；021-66526880,电话：021-66526735；021-56039650
上海市静安区精神卫生中心,精神疾病、抑郁症、强迫症、各种心理障碍、酒精和药物依赖、老年痴呆、癫痫精神障碍、失眠症、行为障碍、适应性障碍、社区防治、精神康复等,上海市平遥路80号；上海市康定路834号,021-56500472；021-62584019*8109,电话：021-56500472（工作日）；021-62584019*8109（工作日）
上海市静安区疾病预防控制中心,疾病预防与控制、突发公共卫生事件应急处置、疫情及健康相关因素信息管理、健康危害因素监测与控制、实验室检测分析与评价、健康教育与健康促进、技术指导与应用研究,上海市静安区永和路195号,021-56659090,电话：021-66315215
上海市静安区卫生成人中等专业学校,落实区卫生健康系统在职卫技人员继续医学教育培训及学分验证、执业医师资格定期考核、科研人才及学科建设等管理与服务；完成上级部门交办的其它工作任务,上海市静安区西康路648号2号楼四楼,021-62551010,电话：021-62586076
上海市静安区卫生事业管理中心,协助配合区卫健委负责推进社区卫生服务机构综合改革工作、社区卫生服务综合评价工作、公立医院医疗服务监管和药品监管工作、社区中医药监测工作;协助配合区卫健委实施业务用房产证办理等相关工作。,上海市静安区大统路480号14楼,021-63800836,电话：021-63800836
上海市静安区卫生信息中心,组织区域内卫生信息技术开发，软件产品和推广应用工作；承担区卫生系统计算机、网络人员培训工作,上海市静安区永和路195号,021-56628023,电话：021-56628023；021-56629070
上海市第三康复医院,为患者提供专科化专业化的康复服务，为社区居民提供基本卫生服务，医疗与护理，疾病预防保健，健康教育等。,上海市静安区交城路100号,021-56505528,电话：021-56505528
上海市静安区妇幼保健所,妇科门诊（含专家门诊）、妇女保健门诊（含产后康复门诊）、儿童保健门诊、围绝经期门诊、生殖健康门诊、孕妇学校、妇科普查、从业人员健康体检、婚前检查、孕前保健等业务。,上海市康定路1297号；第二执业点：上海市共和新路1873弄4号；第三执业点：上海市秣陵路80号2楼；,康定路总机：021-32559329；共和新路总机：021-56382867；,电话：021-56382867-8309
