健身苑点名称,地      址,联系人,器材数,联系电话
陕南健身点,襄阳北路47弄1号,蔡莲萍,3.0,
铜仁健身点,南京西路1522弄,陈华宁,8.0,
重华健身点,南京西路1173弄,邹蓓,8.0,
升平健身点,茂名北路90弄、112弄（升平街）,朱彦,14.0,
泰兴健身点,石门一路315弄,金政一,11.0,
泰兴健身点,     威海路590弄106支弄,,11.0,
古柏健身点,富民路197弄,范桂芹,11.0,
古柏健身点,巨鹿路717弄,范桂芹,11.0,
大中健身点,石门一路214弄口,孙小军,8.0,
新成健身点,南京西路591弄129号,施佩兰,9.0,
青海健身点,青海路90弄,孙乐,8.0,
威海健身点,延安中路830号,郝惠珠,14.0,
威海健身点,    威海路651弄丙楼50号,郝惠珠,14.0,
联华健身点,铜仁路314弄,颜毓秀,17.0,
联华健身点, 南阳路183弄,颜毓秀,17.0,
陕北健身点,江宁路83弄10号,王毅杰,10.0,
华业健身点,南京西路1213弄,王国城,7.0,
茂北健身点,茂名北路235弄1-3号,孙群福,6.0,
延中健身点,延安中路955弄,陈志坚,41.0,
延中健身点,延安中路877弄,陈志坚,41.0,
延中健身点,富民路1001弄,陈志坚,41.0,
延中健身点,富民路61弄,陈志坚,41.0,
恒德里,胶州路武定路,王金凤,10.0,
又一村,常德路519弄,吴爱娟,8.0,
培明,北京西路1434号,吴龙英,8.0,
北京,北京西路1220弄,董如良,16.0,
（荣阳）,新闸路1209弄,陈锦妹,10.0,
众乐里,陕西北路653弄,姜佩华,10.0,
武定坊,康定路445弄,史根英,9.0,
宝安坊,江宁路39弄4号,宋文娟,10.0,
淮安里,康定路88弄,宋兵,10.0,
三乐里,淮安路187弄,陈惠芬,22.0,
句容里,海防路100弄1号101室,钱玉风,,
新余村,海防路223弄、昌化路223弄,朱志琴,9.0,
蒋家巷,昌平路374弄,宋志娟,10.0,
"",昌化路223弄,张永义,18.0,
海防村,海防路410弄,张永义,6.0,
崇安里,江宁路881弄,项富英,10.0,
三星坊,昌平路421弄,张金媛,7.0,
联宝里,昌平路645弄,李素珍,10.0,
"",常德路740弄,郑杏蓉,10.0,
永乐,常德路999,赵莲芳,9.0,
东麻里,安远路398号内,冯静芳,7.0,
"",安远路515弄,惠霞萍,10.0,
江宁健身苑,海防路100弄,徐玉凤,42.0,
北京,新闸路1335弄,物业,6.0,
天河,西苏州路65号,物业,4、5,
东麻,安远路515弄,,12.0,
福康健身苑,新闸路888弄,苏美珍,30.0,
新德健身点,成都北路483弄,曹雪虹,8.0,
培德健身点,新闸路565弄/成都北路879弄,于兰,14.0,
东斯文健身点,大田路492弄/新闸路566弄,樊玉荣,11.0,
西斯文健身点,石门二路316、344弄21号,徐林娣,7.0,
华沁健身点,新闸路1124弄/新闸路1098号,严中玲,12.0,
张家宅健身点,泰兴路362弄7、12号,竺爱娥,13.0,
光明健身点,成都北路1037弄,孙家珍,9.0,
郑家巷健身点,泰兴路383弄117号/北京西路940弄,汤金花,13.0,
东王健身点,北京西路605弄,莫小丽,11.0,
南汇健身点,奉贤路183号,韩乃玲,6.0,
达安城健身点,新闸路777弄/新闸路653弄,奚建民,13.0,
恒丰健身点,武定路44弄/武定路80弄,黄蕙芬,16.0,
西王健身点,奉贤路68弄/奉贤路148弄/南京西路860弄,宗春敏,13.0,
愚谷村健身点,愚园路483弄,糜似莲,7.0,
愚谷村健身点,愚园路579弄,糜似莲,11.0,
三义坊健身点,新闸路1911弄,董月丽,14.0,
三义坊健身点,北京路胶州路路口,董月丽,11.0,
百乐健身点,乌鲁木齐北路69号,高彩娣,9.0,
百乐健身点,北京西路1850弄,高彩娣,11.0,
景华健身点,巨鹿路820弄,陶兴发,11.0,
景华健身点,华山路229弄,陶兴发,17.0,
美丽园健身点,延安西路376弄,管荣春,7.0,
美丽园健身点,延安西路150弄,管荣春,6.0,
四明健身点,愚园路608弄,陈明乐,10.0,
四明健身点,愚园路520弄,陈明乐,15.0,
静安健身点,北京西路1585弄,施志琴,44.0,
静安健身点,北京西路1729弄,施志琴,6.0,
海园健身点,常熟路100弄,包伟风,9.0,
华山健身点,长乐路1236弄,王跃娟,21.0,
乌北健身点,乌鲁木齐北路468弄,王跃娟,16.0,
裕华健身点,常熟路113弄,王强飞,10.0,
静安寺健身广场,万航渡路400弄,朱兆福,56.0,
双拥健身苑,万航渡路北京东路,部队,17.0,
高荣健身苑,万航渡路661弄,顾洁,38.0,
中行健身点（一）,万航渡路623弄,徐倩雯,10.0,
四和健身点,新闸路1910弄,顾锦岚,11.0,
三和健身点,延平路123弄,张静娟,12.0,
姚西健身点（一）,余姚路487弄,熊美华,11.0,
均太健身点,安远路899弄,范美英,16.0,
长春健身点（一）,康定路950弄,陈金妹,10.0,
万航健身点,长宁路155弄,陆银花,5.0,
高荣健身点（高家宅）,万航渡路661弄,顾洁,11.0,
康定健身点,康定路1299弄,杨秀林,10.0,
姚西健身点（二）,延平路461弄,熊美华,10.0,
武西健身点,武定西路1398弄,张胜利,10.0,
叶庆健身点,延平路237弄,陈慧珍,10.0,
中行健身点（二）,万航渡路433弄,徐倩雯,5.0,
长春健身点（二）,昌平路935号,陈金妹,5.0,
达安三鑫健身点,康定路1588号,张国忠,15.0,
锦安健身点,延平路340弄,张国忠,15.0,
宏安健身点,武宁南路480弄,张国忠,10.0,
