结算项目名称,剂型名称,规格,首先自负比例,医疗项目编码,目录等级,药品名称,生产厂家
西药,注射剂,2ml:0.3mg,100.0%、100.0%、100.0%,86904180001034,丙类,盐酸雷莫司琼注射液,中孚药业股份有限公司（国药准字H20056888）
中草药,,,0.0%、0.0%,31200886,甲类,漏芦,
西药,片剂,按阿仑膦酸计70mg,5.0%、10.0%、0.0%,86902770000153,乙类,阿仑膦酸钠片,石药集团欧意药业有限公司（国药准字H20061303）
中草药,,,0.0%、0.0%,c1200064,,龟甲胶,
西药,注射剂,5mg（按核黄素计）,5.0%、10.0%、0.0%,8.69006E+13,乙类,注射用核黄素磷酸钠,珠海同源药业有限公司（国药准字H20060077）
中成药,片剂,基片重0.32g(含维生素C 49.5mg、对乙酰氨基酚105mg),5.0%、10.0%、0.0%,86902374000641,乙类,维C银翘片,陕西汉王药业有限公司
西药,片剂,20mg,0.0%、0.0%、0.0%,86979096001447,甲类,奥美拉唑镁肠溶片,AstraZeneca AB(H20130288)
中成药,颗粒剂,每袋装12g,100.0%、100.0%、100.0%,8.69057E+13,丙类,康肾颗粒,广州一品红制药有限公司（国药准字Z20025358）
西药,注射剂,150ug,5.0%、10.0%、0.0%,8.69002E+13,乙类,重组人粒细胞刺激因子注射液,北京四环生物制药有限公司（国药准字S20020051）
中成药,片剂,每片重0.35g,5.0%、10.0%、0.0%,8.69024E+13,乙类,强力定眩片,陕西汉王药业有限公司（国药准字Z61020139）
西药,滴眼剂,8ml:160mg,0.0%、0.0%、0.0%,8.69041E+13,甲类,硝酸毛果芸香碱滴眼液,山东博士伦福瑞达制药有限公司（国药准字H20020038）
西药,片剂,0.2g,0.0%、0.0%、0.0%,8.69001E+13,甲类,卡马西平片,北京诺华制药有限公司（国药准字H11022279）
中成药,胶囊剂,每粒装0.4g,100.0%、100.0%、100.0%,8.69022E+13,丙类,蚕茸柱天胶囊,四川豪运药业股份有限公司（国药准字Z20020051）
中草药,,,0.0%、0.0%,c1200126,,薏苡仁,
西药,片剂,0.125g（按C15H14ClN3O4S计算）,5.0%、10.0%、0.0%,8.69014E+13,乙类,头孢克洛分散片,江苏豪森药业集团有限公司（国药准字H19990117）
西药,洗剂,氯化钠0.64%，氯化钾0.075%，二水合氯化钙0.048%，六水合氯化镁0.03%，三水合醋酸钠,100.0%、100.0%、100.0%,8.69782E+13,丙类,平衡盐溶液（供灌注用）,"Alcon Laboratories,Inc.（H20130731）"
中成药,薄膜衣片,每片重0.25g,5.0%、10.0%、0.0%,8.6906E+13,乙类,利肺片,三普药业有限公司（国药准字Z20013185）
西药,片剂,2.5mg（以左旋氨氯地平计）,5.0%、10.0%、0.0%,8.69058E+13,乙类,苯磺酸左旋氨氯地平片,先声药业有限公司（国药准字H20093088）
西药,片剂,2mg,0.0%、0.0%、0.0%,8.69015E+13,甲类,盐酸苯海索片,江苏天士力帝益药业有限公司（国药准字H32023129）
西药,注射剂,0.5g,100.0%、100.0%、100.0%,8.69058E+13,丙类,注射用吗替麦考酚酯,双鹤药业(海南)有限责任公司
中成药,贴膏剂,7cm？á10cm,5.0%、10.0%、0.0%,8.69055E+13,乙类,麝香活血化瘀膏,贵州联盛药业有限公司（国药准字Z20163117）
中成药,薄膜衣片,片芯重0.27g,0.0%、0.0%、0.0%,8.69002E+13,甲类,牛黄解毒片,北京同仁堂科技发展股份有限公司制药厂（国药准字Z11020452）
中成药,颗粒剂,每袋装2g,5.0%、10.0%,86905746000041-1,乙类,(新)小儿双清颗粒,西藏诺迪康药业股份有限公司
中成药,片剂,复方,5.0%、10.0%,8.69035E+13,乙类,抗骨增生片,吉林省松辽制药有限公司
