项目名称,除外内容,编码,计价单位,一级机构价格,id,说明,财务分类,项目内涵
基层医疗卫生机构一般诊疗费,各类一次性输液器、过滤器、注射器、真空采血器、胰岛素专用注射器、三通管、延长管、留置针、留置导管、肝素帽、化疗泵。留置静脉针使用的透明敷贴。,110100002,次,13.6 ,1,"1.乡镇卫生院、城市社区卫生服务机构按此项目收费。
2.门诊注射、换药、针灸、理疗、推拿、血透、放射治疗按疗程收取一次一般诊疗费。
3.注射、输液均限门诊。",C,含普通门诊诊查费（110200001）、专家门诊诊查费（110200002）、急诊诊查费（110200003）、门急诊留观诊查费（110200004）、肌肉注射（120400001）、静脉注射（120400002）、心内注射（120400003）、动脉加压注射（120400004）、皮下输液（120400005）、门诊静脉输液（120400006-2）、小儿头皮静脉输液（120400007）等项目及其子项目。
农村卫生站一般诊疗费,各类一次性输液器、过滤器、注射器、真空采血器、胰岛素专用注射器、三通管、延长管、留置针。留置静脉针使用的透明敷贴。,110100003, 次,6.8 ,2,"1.村卫生站按此项目收费。
2.门诊注射、换药、针灸、理疗、推拿按疗程收取一次一般诊疗费。
3.注射、输液均限门诊。",C,含药事服务成本、诊查费和注射费，具体为普通门诊诊查费（110200001）、专家门诊诊查费（110200002）、急诊诊查费（110200003）、门急诊留观诊查费（110200004）、肌肉注射（120400001）、静脉注射（120400002）、心内注射（120400003）、动脉加压注射（120400004）、皮下输液（120400005）、门诊静脉输液（120400006-2）、小儿头皮静脉输液（120400007）等项目及其子项目；含门诊及其为患者提供候诊就诊条件、诊断书、收费收据。
普通门诊诊查费,,110200001,次,10.8,3,,C,指医护人员提供（技术劳务）的诊疗服务。
专家门诊诊查费,,110200002,次,,4,,C,指高级职称医务人员提供（技术劳务）的诊疗服务。
名专家门诊诊查费,,110200002-1,次,-,5,,C,指：①享受政府津贴的专家，②省级名老、名中医。
主任医师门诊诊查费,,110200002-2,次,22.5,6,,C,
副主任医师门诊诊查费,,110200002-3,次,18,7,,C,
急诊诊查费,,110200003,次,15.3,8,,C,指医护人员提供的24小时急救、急症的诊疗服务。
门急诊留观诊查费,,110200004,日,16,9,,C,含诊查、护理。
住院诊查费,,110200005,日,22.5,10,入院当日按一日计算收费，出院当日不计收费（计入不计出）；当日入院当日出院，住院诊查费按一天计价。,C,指医务人员技术劳务性服务。
网上就诊诊查费,,110200007S,次,,11,检验、检查费另外收取。,C,指医务人员通过网络查看患者诊疗信息，询问病史，分析病历资料，向患者或家属告知。结合患者实时情况和病情提供检查、治疗和健康管理方案，患者通过网上支付等方式付费并预约检查等的诊疗服务。
网上就诊诊查费-复诊,,110200007S-1,次,10.8,12,按普通门诊诊查费标准收费。,C,
3.急诊监护费,,1103,,,13,,E,
